#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2005-11-16T04:35:09
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml18178	

#RESOURCE=1239
#Name: I/239
#Title:	The Hipparcos and Tycho Catalogues (ESA 1997)
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title:	The Hipparcos Main Catalogue\vizContent{timeSerie}
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	HIP	(I6)	Identifier (HIP number) (H1)        (link)	[ucd=ID_MAIN]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=POS_EQ_RA_MAIN]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=POS_EQ_DEC_MAIN]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=PHOT_JHN_V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=PHOT_JHN_B-V]

recno;HIP;RAhms;DEdms;Vmag;B-V
;;;;mag;mag
--------;------;-----------;-----------;-----;------
      88;    88;00 01 04.60;-48 48 35.5; 5.71; 0.911
     107;   107;00 01 20.11;-50 20 14.6; 5.53; 1.615
     122;   122;00 01 35.85;-77 03 55.1; 4.78; 1.254
     124;   124;00 01 37.02;+61 13 22.1; 5.58; 0.407
     145;   145;00 01 49.44;-03 01 38.9; 5.13;-0.128
     154;   154;00 01 57.59;-06 00 50.3; 4.37; 1.631
     171;   171;00 02 09.65;+27 05 04.2; 5.80; 0.690
     183;   183;00 02 19.91;-29 43 13.6; 5.04;-0.150
     194;   194;00 02 29.76;+08 29 08.1; 5.70; 0.315
     208;   207;00 02 36.08;+66 05 56.3; 5.87; 1.073
     300;   301;00 03 44.37;-17 20 09.5; 4.55;-0.047
     330;   330;00 04 13.66;+62 17 15.6; 5.90; 0.274
     343;   343;00 04 19.76;-16 31 44.0; 5.78; 1.084
     355;   355;00 04 30.12;-10 30 34.2; 4.99; 1.619
     377;   377;00 04 41.25;-71 26 12.7; 5.59;-0.100
     379;   379;00 04 41.84;+67 09 59.0; 5.68; 1.051
     418;   418;00 05 06.13;+61 18 50.3; 5.80;-0.067
     442;   443;00 05 20.15;-05 42 28.2; 4.61; 1.029
     476;   476;00 05 41.94;+13 23 46.6; 5.55; 0.901
     518;   518;00 06 15.54;+58 26 12.1; 5.98; 0.687
     522;   522;00 06 18.66;-49 04 30.3; 5.70; 0.519
     531;   531;00 06 26.53;+64 11 46.2; 5.57;-0.023
     636;   636;00 07 46.86;-22 30 30.5; 5.93; 0.141
     655;   655;00 08 03.52;-33 31 45.6; 5.67; 1.119
     671;   671;00 08 17.55;-08 49 26.5; 5.99; 1.034
     677;   677;00 08 23.17;+29 05 27.0; 2.07;-0.038
     728;   729;00 09 02.34;+18 12 43.3; 5.57; 1.043
     745;   746;00 09 10.09;+59 09 00.8; 2.28; 0.380
     760;   761;00 09 21.02;-27 59 16.5; 5.42; 0.414
     764;   765;00 09 24.54;-45 44 49.2; 3.88; 1.013
     812;   813;00 10 02.18;+11 08 44.9; 5.54;-0.064
     813;   814;00 10 02.27;-82 13 26.4; 5.29; 1.049
     839;   840;00 10 18.85;-05 14 54.7; 5.84; 0.973
     840;   841;00 10 19.24;+46 04 20.2; 5.01; 0.405
     872;   873;00 10 42.75;-12 34 47.3; 5.84; 1.000
     909;   910;00 11 15.91;-15 28 02.4; 4.89; 0.487
     929;   930;00 11 34.42;-27 47 59.2; 5.41; 1.346
     949;   950;00 11 43.89;-35 08 00.2; 5.24; 0.459
     982;   983;00 12 09.95;-17 56 17.6; 5.29; 1.478
    1066;  1067;00 13 14.15;+15 11 01.0; 2.83;-0.190
    1073;  1074;00 13 19.55;-84 59 38.5; 5.78; 1.710
    1085;  1086;00 13 30.94;+41 02 08.6; 5.71; 0.331
    1095;  1096;00 13 42.22;-26 01 19.8; 5.94; 1.548
    1157;  1158;00 14 27.59;-07 46 49.9; 5.13; 1.601
    1167;  1168;00 14 36.11;+20 12 24.1; 4.79; 1.572
    1170;  1170;00 14 38.43;-18 55 57.7; 4.44; 1.640
    1190;  1191;00 14 54.50;-09 34 10.4; 5.77;-0.084
    1287;  1288;00 16 08.79;-31 26 46.8; 5.66; 1.350
    1353;  1354;00 16 57.05;+61 31 59.5; 5.74; 0.898
    1365;  1366;00 17 05.54;+38 40 54.0; 4.61; 0.059
    1371;  1372;00 17 09.04;+47 56 50.7; 5.86;-0.079
    1472;  1473;00 18 19.71;+36 47 07.2; 4.51; 0.054
    1492;  1493;00 18 38.22;+31 31 02.0; 5.88;-0.014
    1561;  1562;00 19 25.68;-08 49 25.8; 3.56; 1.214
    1597;  1599;00 20 01.91;-64 52 39.4; 4.23; 0.576
    1628;  1630;00 20 24.39;+30 56 08.2; 5.89;-0.098
    1643;  1645;00 20 35.86;+08 11 24.9; 5.38; 1.343
    1645;  1647;00 20 39.04;-69 37 29.7; 5.50;-0.046
    1655;  1657;00 20 45.54;+32 54 40.4; 5.79; 1.595
    1684;  1686;00 21 07.23;+37 58 07.3; 5.16; 0.442
    1704;  1706;00 21 28.74;-77 25 36.7; 5.96; 1.397
    1706;  1708;00 21 31.18;-28 58 52.7; 5.18; 1.006
    1726;  1728;00 21 46.23;-20 03 28.8; 5.61; 1.580
    1919;  1921;00 24 15.64;+52 01 11.7; 5.58;-0.110
    1958;  1960;00 24 47.49;+61 49 51.8; 5.38; 0.008
    1980;  1982;00 25 06.39;+53 02 48.4; 5.72;-0.056
    2003;  2006;00 25 24.22;+01 56 23.0; 5.77; 0.855
    2019;  2021;00 25 39.20;-77 15 18.1; 2.82; 0.618
    2072;  2072;00 26 12.12;-43 40 47.7; 3.93; 0.175
    2079;  2081;00 26 16.87;-42 18 18.4; 2.40; 1.083
    2156;  2159;00 27 14.69;-25 32 49.7; 5.99; 1.022
    2208;  2210;00 27 55.71;-33 00 25.4; 4.86; 1.634
    2217;  2219;00 28 02.84;+17 53 35.1; 5.01; 1.584
    2224;  2225;00 28 13.59;+44 23 40.2; 5.18; 0.043
    2238;  2240;00 28 26.42;-39 54 53.6; 5.42; 1.556
    2351;  2353;00 30 02.35;-03 57 26.3; 5.72; 1.545
    2353;  2355;00 30 07.34;+29 45 06.1; 5.20; 0.271
    2375;  2377;00 30 19.91;+59 58 39.2; 5.94;-0.003
    2379;  2381;00 30 22.67;-23 47 15.8; 5.17; 0.128
    2381;  2383;00 30 25.97;-48 12 52.9; 5.67; 0.367
    2470;  2472;00 31 24.86;-48 48 12.8; 4.76; 0.018
    2473;  2475;00 31 25.61;+33 34 54.1; 5.88; 1.133
    2482;  2484;00 31 32.56;-62 57 29.1; 4.36;-0.064
    2483;  2487;00 31 33.36;-62 57 55.6; 4.53; 0.147
    2495;  2497;00 31 41.21;+52 50 22.4; 5.59; 1.163
    2503;  2505;00 31 46.32;+54 31 20.4; 4.74;-0.098
    2547;  2548;00 32 23.75;+06 57 19.6; 5.69;-0.014
    2566;  2568;00 32 35.40;+20 17 40.0; 5.38; 1.069
    2576;  2578;00 32 43.79;-63 01 53.0; 5.07; 0.038
    2596;  2599;00 32 59.99;+62 55 54.4; 4.17; 0.130
    2609;  2611;00 33 10.32;+54 53 42.3; 5.93; 1.037
    2659;  2661;00 33 41.06;-29 33 29.5; 5.55; 1.262
    2709;  2711;00 34 27.62;-52 22 23.5; 5.57; 0.472
    2760;  2762;00 35 14.64;-03 35 33.9; 5.20; 0.567
    2785;  2787;00 35 32.75;-00 30 19.7; 5.94; 0.444
    2800;  2802;00 35 41.13;-48 00 02.4; 5.51; 0.461
    2852;  2854;00 36 08.29;+54 10 06.4; 5.08;-0.098
    2874;  2876;00 36 27.34;+60 19 34.4; 5.78; 0.294
